sl_nb_chambre,sl_taille,sl_prix,sl_salle_d_eau,sl_salle_de_bain,sl_toilette,sl_etage,sl_hauteur,sl_parking,sl_terrasse,sl_nb_piece,sl_style_enc,sl_localisation_enc,sl_cuisine_enc,sl_exposition_enc,sl_vue_enc,sl_ascenseur_enc,sl_neuf_enc,sl_cave_enc,sl_annee_enc,sl_balcon_enc,sl_parquet_enc,sl_gardien_enc
1.0,48.0,701000.0,1.0,1.0,1.0,4.0,9.0,1.0,1.0,2.0,0,0,1,0,0,1,0,1,0,0,0,1
3.0,148.0,2030000.0,1.0,1.0,2.0,3.0,5.5,1.0,1.0,5.0,0,0,0,0,0,1,0,1,1,0,1,1
2.0,85.0,915000.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,0,0,0,0,0,1,0,1,0,0,0,0
2.0,22.0,315000.0,2.0,2.0,1.0,1.0,9.0,1.0,1.0,2.0,0,0,0,0,0,1,0,0,0,0,0,1
3.0,108.0,1000000.0,1.6666666666666667,2.0,1.0,3.0,7.0,1.0,1.0,5.0,0,0,0,0,0,1,0,1,0,0,0,1
2.0,175.0,2480000.0,1.3333333333333335,2.0,1.0,2.0,6.8,1.0,1.0,5.0,0,0,0,0,0,1,1,0,0,0,0,0
1.0,58.0,1100000.0,1.0,1.5,1.0,2.6666666666666665,6.6,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1
1.5,32.0,325000.0,1.0,1.0,1.0,3.333333333333333,6.4,1.0,1.0,1.0,0,0,0,0,0,1,0,1,0,0,0,0
2.0,100.0,1470000.0,1.0,1.0,1.0,4.0,6.2,1.0,1.0,4.0,0,0,0,0,0,1,1,0,0,0,0,0
2.0,7.0,112000.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,40.0,570000.0,1.0,1.0,1.0,4.0,7.0,1.0,1.0,1.0,0,0,0,0,0,1,0,1,0,1,0,0
2.0,74.0,740000.0,1.0,1.0,1.0,4.0,6.75,1.0,1.0,3.0,0,0,0,0,0,1,0,1,0,0,1,1
2.0,92.0,1099000.0,1.0,1.0,1.0,4.0,6.5,1.0,1.0,4.0,0,0,1,0,0,1,1,1,0,0,1,1
2.0,77.0,1180000.0,1.0,1.0,1.0,4.0,6.25,1.0,1.0,4.0,0,0,0,0,0,1,0,1,0,0,1,0
2.0,72.0,780000.0,1.0,1.0,1.0,5.0,6.0,1.0,1.0,4.0,0,0,1,0,0,1,0,1,0,0,1,0
2.0,75.0,1395000.0,1.0,1.0,1.0,2.0,8.666666666666666,1.0,1.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0
3.0,153.0,2130000.0,1.0,1.0,2.0,3.0,11.333333333333332,1.0,1.0,5.0,0,0,0,0,0,1,0,1,0,0,1,0
2.0,94.0,969000.0,1.0,1.0,2.0,2.0,14.0,1.0,1.0,4.0,0,0,0,0,0,1,0,1,0,1,1,1
1.0,53.0,577500.0,1.0,1.0,2.0,2.0,6.0,1.0,1.0,2.0,0,0,0,0,0,1,0,1,0,0,1,1
2.0,101.0,1235000.0,1.0,1.0,2.0,4.0,9.0,1.5,1.0,3.0,0,0,0,0,0,1,0,1,0,1,1,1
3.0,117.0,1751000.0,2.0,1.0,2.0,6.0,8.333333333333334,2.0,1.0,5.0,0,0,0,0,0,1,0,1,0,1,0,0
2.0,90.0,1270000.0,1.5,1.0,1.0,4.0,7.666666666666667,1.6666666666666667,1.0,4.0,0,0,0,0,0,1,0,1,0,0,0,0
1.0,41.0,616000.0,1.0,1.0,1.0,7.0,7.0,1.3333333333333335,1.0,2.0,0,0,1,0,0,1,0,1,0,0,0,1
1.0,53.0,577500.0,1.0,1.0,2.0,2.0,6.0,1.0,1.0,2.0,0,0,0,0,0,1,0,1,0,0,1,1
2.0,62.0,735000.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,3.0,0,0,0,0,0,1,0,1,0,0,0,0
2.0,61.0,820000.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,3.0,0,0,0,0,0,1,0,0,0,0,1,1
2.0,105.0,1430000.0,1.0,1.0,1.0,5.0,6.0,1.0,1.0,4.0,0,0,0,0,0,1,0,1,1,0,0,1
1.0,31.0,389000.0,1.0,1.0,1.0,2.0,6.5,1.0,1.0,2.0,0,0,0,0,0,0,0,1,1,0,1,1
4.0,140.0,2300000.0,1.0,1.0,2.0,1.0,7.0,1.0,1.0,6.0,0,0,1,0,0,1,0,1,0,1,0,1
3.0,22.0,309750.0,1.0,1.6666666666666665,1.0,1.0,7.5,1.0,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0
2.0,84.0,1070000.0,2.0,2.333333333333333,2.0,2.0,8.0,1.0,1.0,3.0,0,0,0,1,0,1,0,1,0,0,0,0
5.0,231.0,3500000.0,1.0,3.0,3.0,2.0,8.5,1.0,1.0,7.0,0,0,0,0,0,0,0,1,0,0,1,0
4.0,185.0,2995000.0,1.0,2.0,2.0,2.0,9.0,1.0,1.0,6.0,0,0,0,0,0,1,0,1,0,1,0,1
3.0,148.0,1720000.0,1.0,3.0,2.0,3.0,7.0,1.0,1.0,6.0,0,0,1,0,0,1,0,1,0,0,1,0
1.0,42.0,485000.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,24.0,270000.0,1.0,1.5,1.0,6.0,6.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,1,1
4.0,170.0,1895000.0,1.0,2.0,2.0,3.0,6.166666666666667,1.0,1.0,6.0,0,0,0,0,0,1,0,1,0,1,0,0
2.0,88.0,1115000.0,1.0,1.6666666666666667,1.0,1.0,6.333333333333333,1.0,1.0,4.0,0,0,0,0,0,1,0,1,0,0,1,0
1.5,17.0,222000.0,1.0,1.3333333333333335,1.0,1.0,6.5,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,69.0,867000.0,1.0,1.0,1.0,3.0,6.666666666666667,1.0,1.0,3.0,0,0,0,0,0,1,0,1,0,0,1,1
1.0,36.0,450000.0,1.0,1.0,1.0,2.0,6.833333333333333,1.0,1.0,2.0,0,0,0,0,0,1,0,1,0,0,0,0
7.0,306.0,3790000.0,1.0,1.0,2.0,6.0,7.0,1.0,1.0,10.0,0,0,0,0,0,1,0,1,0,0,1,0
1.0,40.0,590000.0,1.0,1.0,1.0,4.0,6.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0
3.0,176.0,2195000.0,1.0,2.0,2.0,2.0,6.0,1.0,1.0,5.0,0,0,0,0,0,1,0,1,0,0,1,0
1.0,36.0,490000.0,1.0,1.5,1.0,6.0,6.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,103.0,1030000.0,1.0,1.0,1.0,3.0,6.5,1.0,1.0,5.0,0,0,0,0,0,1,0,1,0,0,0,1
2.0,9.0,129000.0,1.0,1.0,1.0,3.0,7.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,36.0,547000.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0
2.0,73.0,829500.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,3.0,0,0,1,0,0,1,0,0,0,0,0,1
3.0,121.0,2100000.0,1.0,2.0,3.0,5.0,6.0,1.0,1.0,5.0,0,0,0,0,0,1,0,1,1,0,1,1
3.0,157.0,2350000.0,1.5,2.0,3.5,10.0,6.5,1.0,1.0,4.0,0,0,0,0,0,1,0,0,0,1,0,1
3.0,226.0,2970000.0,2.0,2.0,4.0,6.0,7.0,1.0,1.0,5.0,0,0,1,0,0,1,0,1,0,0,0,1
2.0,87.0,980000.0,1.0,1.5,1.0,4.0,9.0,1.0,1.0,3.0,0,0,0,0,0,1,0,0,0,0,1,1
1.5,32.0,360000.0,1.0,1.0,1.0,1.0,7.5,1.0,1.0,1.0,0,0,0,0,0,1,0,0,0,0,1,1
1.0,63.0,790000.0,1.0,1.5,1.5,2.0,6.0,1.0,1.0,2.0,0,0,0,0,0,1,0,1,0,0,0,1
4.0,266.0,2300000.0,1.0,2.0,2.0,2.5,6.666666666666667,1.0,1.0,6.0,0,0,0,0,0,1,0,0,0,0,1,1
1.0,43.0,535600.0,1.0,1.5,1.0,3.0,7.333333333333333,1.0,1.0,2.0,0,0,0,0,0,1,0,1,0,1,1,1
2.0,85.0,976000.0,1.0,1.0,1.0,6.0,8.0,1.0,1.0,4.0,0,0,0,0,0,1,0,1,0,0,1,1
