sl_nb_chambre,sl_taille,sl_prix,sl_salle_d_eau,sl_salle_de_bain,sl_toilette,sl_etage,sl_hauteur,sl_parking,sl_terrasse,sl_nb_piece,sl_localisation_enc,sl_cuisine_enc,sl_exposition_enc,sl_vue_enc,sl_ascenseur_enc,sl_neuf_enc,sl_cave_enc,sl_annee_enc,sl_balcon_enc,sl_parquet_enc,sl_style_enc,sl_gardien_enc
1.0,54.0,442000.0,1.8333333333333333,1.0,1.0,2.0,5.0,1.0,1.0,2.0,0,1,0,0,0,0,0,1,0,0,0,0
4.0,108.0,825000.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,65.0,525000.0,1.5,1.0,1.0,4.0,4.0,1.0,1.0,2.0,0,0,0,0,1,0,1,0,0,1,0,0
2.0,62.0,290000.0,1.0,1.0,1.0,6.0,10.5,1.0,1.0,3.0,0,0,0,0,1,0,1,0,0,0,0,0
1.0,60.0,524000.0,1.3333333333333333,1.0,1.0,17.0,17.0,1.0,2.0,2.0,0,0,0,0,1,0,1,0,0,0,0,1
2.0,84.0,345000.0,1.6666666666666665,1.0,1.0,1.0,1.0,1.0,1.9705882352941178,3.0,0,0,0,0,0,0,1,0,0,0,0,0
2.0,133.0,980000.0,2.0,1.0,2.0,7.0,7.0,1.0,1.9411764705882353,4.0,0,1,0,0,1,0,1,0,0,0,0,0
4.0,129.0,830000.0,1.0,1.0,1.0,1.0,6.0,1.0,1.911764705882353,5.0,0,0,0,0,1,0,1,0,0,1,0,0
2.0,68.0,570000.0,1.5,1.0,1.0,2.0,4.0,1.0,1.8823529411764706,3.0,0,0,0,0,0,1,1,0,0,1,0,0
3.0,104.0,725000.0,2.0,1.0,1.0,2.0,5.5,1.0,1.8529411764705883,4.0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,66.0,510000.0,1.0,1.0,1.0,5.0,7.0,1.0,1.8235294117647058,3.0,0,1,0,0,1,0,1,0,0,0,0,0
3.0,395.5,525000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7941176470588236,4.0,0,0,0,0,0,0,1,0,1,0,0,1
19.0,725.0,2990000.0,1.0,1.0,1.0,1.0,1.5,1.0,1.7647058823529411,20.0,0,0,0,0,0,0,0,0,0,0,1,0
6.0,480.0,1750000.0,1.0,1.0,1.0,1.0,2.0,1.0,1.7352941176470589,7.0,0,0,0,0,0,0,0,0,0,0,1,0
3.0,115.0,890000.0,1.0,1.0,1.0,1.0,2.3333333333333335,1.0,1.7058823529411764,4.0,0,0,0,0,1,1,0,0,0,1,0,0
3.0,100.0,735000.0,1.0,1.0,1.0,1.0,2.6666666666666665,1.0,1.6764705882352942,5.0,0,0,0,0,1,0,1,0,1,0,0,1
2.0,82.0,590000.0,1.0,1.0,1.0,1.0,3.0,1.0,1.6470588235294117,3.0,0,0,0,0,1,1,1,0,0,1,0,0
