sl_style,sl_localisation,sl_nb_chambre,sl_taille,sl_prix,sl_paragraphe,sl_salle_d_eau,sl_salle_de_bain,sl_toilette,sl_annee,sl_etage,sl_hauteur,sl_ascenseur,sl_vue,sl_cave,sl_parking,sl_chemine,sl_exposition,sl_balcon,sl_terrasse,sl_gardien,sl_travaux,sl_neuf,sl_parquet,sl_cuisine,sl_vis_a_vis,sl_jardin,sl_piscine,sl_nb_piece
Appartement,Quartier Les Brotteaux-Bellecombe-Masséna,2 chambres,66m²,510 000 €,"Au cinquième étage d'un bel Immeuble art Déco, dans une copropriété bien tenue, Nestenn vous propose en exclusivité un appartement de 66m², en étage élevé avec ascenseur. Il dispose d'un séjour avec cuisine US, deux belles chambres très lumineuses. Salle de bain et WC séparés. Grand dressing. Jardin privatif et cave. Pas de travaux à prévoir. Copropriété de 70 lots (Pas de procédure en cours). Charges annuelles: 1733.00 euros.",1 Salle d'eau,1 Salle de bain,1 Toilette,Année de construction 1937,Au 5ème étage,Bâtiment de 7 étages,Ascenseur,Non reference,Cave,Non reference,Non reference,Orientation Ouest,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine américaine équipée,Non reference,Non reference,Non reference,3 pièces
Appartement,Quartier Tête d'Or-Foch-Vitton,3 chambres,Non reference,525 000 €,"A saisir Lyon 6ème, à proximité des commodités et du Parc de la tête d'or, appartement à rénover de 104 m². Situé au 1er étage d'une résidence des années 50 de bon standing, ce bien se compose d'un grand hall, d'une pièce de vie exposée Sud Ouest, de trois chambres, d'une cuisine, d'une salle d'eau, et de WC séparés. Une petite loggia et une cave viennent compléter l'appartement. Avis du professionnel: Proximité immédiate avec le parc de la tête d'or, TCL à proximité - Métro Foch et massena 10 minutes à pied - Climatisation - Possibilité d'ouvrir hall et cuisine sur séjour, afin d'obtenir une pièce de vie d'au moins 35 m². Bien soumis au régime juridique de la copropriété - 38 lots - Charges annuelles de copropriété (Montant moyen annuel quote-part du budget prévisionnel vendeur): 3500 euros (chauffage, eau froide, gardien) Le syndicat des copropriétaires ne fait pas l'objet de procédures juridiques en cours. Prix de vente 525 000 euros (Honoraires charge vendeur). Pour une visite ou plus d'informations, merci de contacter Cédric Quéré - CIMM IMMOBILIER Croix-Rousse.",1 Salle d'eau,Non reference,1 Toilette,Année de construction 1956,Au 1er étage,Bâtiment de 1 étage,Non reference,Non reference,Cave,Non reference,Non reference,Orientation Sud-Ouest,1 Balcon,Non reference,Gardien,Non reference,Non reference,Non reference,Cuisine aucune,Non reference,Non reference,Non reference,4 pièces
Maison / Villa,Quartier Tête d'Or-Foch-Vitton,19 chambres,725m²,2 990 000 €,"En exclusivité BELLE PROPRIÉTÉ RARE, propriété de 180 hectares dont 24 hectares d'étangs, 75 hectares de bois et 75 hectares de terres agricoles. Elle se compose également d'une belle bâtisse bourgeoise de 725 m² hab avec vue magnifique. Vous bénéficiez également de 2 maisons, des dépendances, des garages, un appartement.. Idéal chasseurs, amoureux de la nature, balades à cheval ou chambres d'hôtes. A VISITER SANS TARDER ! MME. DESSENDIER MARIE-PIERRE: AGENT COMMERCIAL Salomé CAPARROS.",Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Vue,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine aucune,Non reference,Non reference,Non reference,20 pièces
Maison / Villa,Quartier Tête d'Or-Foch-Vitton,6 chambres,480m²,1 750 000 €,"Propriété équestre / 14km Place Bellecour - Ouest Lyon Au calme avec vue panoramique, propriété équestre avec maison d'habitation T7 équipée tout confort; cuisine équipée, chauffage au sol, jacuzzi,.. Grandes dépendances, 2 gîtes meublés, 12 Boxes (3X3), 2 boxes poulinières (4X5), 3 boxes étalons (4X4), rond d'Havrincourt, carrière de 25mx55m sur 6,6 Hectares avec un étang et une borne d'irrigation.",Non reference,Non reference,Non reference,Non reference,Non reference,Bâtiment de 2 étages,Non reference,Vue,Non reference,Non reference,Non reference,Orientation Sud-Est,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine aucune,Non reference,Non reference,Non reference,7 pièces
Appartement,Quartier Tête d'Or-Foch-Vitton,3 chambres,115m²,890 000 €,"T4 d'exception Place Puvis de Chavannes Lyon 6ème, Place Puvis de Chavannes, dans un immeuble art déco, avec ascenseur, appartement de type 4 avec trois chambres en étage élevé de 115 m² avec vue imprenable sur la place, entièrement réhabilité par des professionnels. Il comprend une entrée, une grande pièce avec cuisine ouverte sur le séjour, une suite parentale avec douche et dressing, un WC et une buanderie. A l'étage, deux chambres, un coin bureau, une salle de bains et un WC. Prestations haut de gamme, climatisation, ventilation double flux, domotique, cuisine équipée sur mesure, parquet massif. Informations et visites avec Mathieu Arbrun, Grand Central Immobilier.",Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Ascenseur,Vue,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Refait à neuf,Parquet,Cuisine aucune,Non reference,Non reference,Non reference,4 pièces
Appartement,Quartier Tête d'Or-Foch-Vitton,3 chambres,100m²,735 000 €,EXCLUSIVITÉ - APPARTEMENT 5 PIÈCES ET GARAGE PARC DE LA TÊTE D'OR,1 Salle d'eau,1 Salle de bain,1 Toilette,Non reference,Non reference,Non reference,Ascenseur,Non reference,Cave,Non reference,Non reference,Orientation Sud,1 Balcon,Non reference,Gardien,Non reference,Non reference,Non reference,Cuisine américaine,Non reference,Non reference,Non reference,5 pièces
Appartement,Quartier Tête d'Or-Foch-Vitton,2 chambres,82m²,590 000 €,"My Cocoon, l'agence aux honoraires fixes à 2 % vous propose en avant-première: Lyon 3ème - Secteur Préfecture - Limite Lyon 6ème - situé dans un bel immeuble bourgeois. Venez découvrir cet agréable 3 pièces d'une surface de 82 m² carrez alliant modernité et charme de l'ancien. Il se compose d'une entrée avec placard, une spacieuse pièce de vie de 35 m² avec rangement, une cuisine entièrement aménagée et équipée, deux belles chambres de 13 m² avec rangements, une salle de bains, ainsi qu'un WC. Une cave complète ce bien. Ses atouts: bel immeuble, emplacement de choix, commerces, transports, beaux volumes, charme de l'ancien (parquet chêne massif, belle hauteur sous plafond) Charges annuelles: 1 080 euros Taxe foncière: 760 euros DPE: En cours Copropriété de 15 lots (Aucune procédure en cours) Prix: 590 000 euros Honoraires Charge Vendeur 2% Contact Géraldine Cotte: Agent commercial RCS Lyon: 789 644 747 MY COCOON: 28 Rue Neuve, 69002 LYON. Copropriété de 15 lots (Pas de procédure en cours). Charges annuelles: 1080.00 euros.",Non reference,1 Salle de bain,1 Toilette,Non reference,Non reference,Non reference,Ascenseur,Non reference,Cave,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Refait à neuf,Parquet,Cuisine séparée équipée,Non reference,Non reference,Non reference,3 pièces
Appartement,Quartier Tête d'Or-Foch-Vitton,3 chambres,100m²,735 000 €,EXCLUSIVITÉ - APPARTEMENT 5 PIÈCES ET GARAGE PARC DE LA TÊTE D'OR,1 Salle d'eau,1 Salle de bain,1 Toilette,Non reference,Non reference,Non reference,Ascenseur,Non reference,Cave,Non reference,Non reference,Orientation Sud,1 Balcon,Non reference,Gardien,Non reference,Non reference,Non reference,Cuisine américaine,Non reference,Non reference,Non reference,5 pièces
Appartement,Quartier Les Brotteaux-Bellecombe-Masséna,71m²,7 042 € / m²,500 000 €,"Rare à Lyon 6ème.. Idéalement situé à deux pas du cours Franklin Roosevelt et proche du Métro Foch, cet appartement traversant T3 orienté Est Ouest bénéficie d ? Une belle pièce de vie de 36 m². Il est situé au premier étage d ? Un immeuble positionné sur un terrain HCL.. Une cave et un grenier complètent cet appartement. 500000 euros Honoraires à la charge du vendeur.",Non reference,1 Salle de bain,Non reference,Non reference,Au 1er étage,Non reference,Non reference,Non reference,Cave,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,3 pièces
Appartement,Quartier Tête d'Or-Foch-Vitton,21m²,9 286 € / m²,195 000 €,"BOSSUET TÊTE D'OR Dans un immeuble ancien rue Bossuet, au 4ème et dernier étage sans ascenseur, appartement de type studio d'une superficie de 21 m² environ et comprenant: hall, salle de douche et WC, séjour avec coin cuisinette. Possibilité de comble aménageable. Chauffage individuel électrique par convecteur, production d'eau chaude par cumulus. Appartement vendu loué. Fin de bail au 09/2022. Loyer annuel (hors charges) 6 350 euros. Nombre de lots 27. Charges annuelles 210 euros. DPE en cours de publication.",Non reference,Non reference,Non reference,Année de construction 1900,Au 4ème étage,Bâtiment de 4 étages,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine aucune,Non reference,Non reference,Non reference,1 pièce
Appartement,Quartier Les Brotteaux-Bellecombe-Masséna,2 chambres,58m²,385 000 €,"69006 LYON: Noam NABET vous présente son coup de coeur. Appartement T2 ou T3 de 58 m² en Rez-de-chaussée traversant, très lumineux et sans vis-a-vis donnant sur une cour végétalisée en plein coeur des Brotteaux. Charme de l'ancien, 1 Salle de bain et WC séparé. ENTIÈREMENT RÉNOVÉ, cuisine équipée, exposition Sud, faibles charges. Une visite s'impose !",Non reference,1 Salle de bain,1 Toilette,Non reference,Non reference,Bâtiment de 8 étages,Ascenseur,Non reference,Non reference,Non reference,Non reference,Orientation Sud,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine séparée équipée,Non reference,Non reference,Non reference,3 pièces
Appartement,Quartier Tête d'Or-Foch-Vitton,3 chambres,"120,5m²",785 000 €,"En exclusivité, Lyon 6ème, à proximité immédiate du lycée du parc, venez découvrir cet appartement traversant d'environ 120.5m². Situé au rez-de-chaussée surélevé d'un immeuble de standing. Il se compose d'un salon sur rue, d'une cuisine séparée, de 3 chambres, d'une salle de bains et d'une salle d'eau. Idéal profession libérale. Une cave complète ce bien. Copropriété de 20 lots (Pas de procédure en cours). Charges annuelles: 2400.00 euros.",1 Salle d'eau,1 Salle de bain,2 Toilettes,Non reference,Non reference,Bâtiment de 5 étages,Ascenseur,Non reference,Cave,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine séparée,Non reference,Non reference,Non reference,4 pièces
