,sl_prix,sl_localisation,sl_cuisine,sl_exposition,sl_vue,sl_ascenseur,sl_neuf,sl_cave,sl_annee,sl_balcon,sl_parquet,sl_style,sl_gardien,sl_nb_chambre,sl_taille,sl_salle_d_eau,sl_salle_de_bain,sl_toilette,sl_etage,sl_hauteur,sl_parking,sl_terrasse,sl_nb_piece
49,630000.0,0,0,0,0,1,0,1,0,0,1,0,0,3,111,1,1,1,2,6,1,1,5
50,735000.0,0,0,0,0,0,0,1,0,0,1,0,0,2,90,1,1,1,2,6,1,1,3
51,335000.0,0,0,1,0,0,0,0,0,0,0,0,0,1,42,1,1,1,4,6,1,1,2
52,839000.0,0,1,0,0,0,0,0,0,0,0,0,0,4,132,1,1,2,1,5,1,2,5
53,1280000.0,0,0,0,0,0,0,1,0,0,0,0,0,3,276,1,1,1,1,4,1,1,5
54,112000.0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,1,1,1,2,3,1,1,1
55,150000.0,0,0,0,0,1,0,1,0,0,0,0,1,1,52,1,1,1,2,7,1,1,2
56,720000.0,0,0,0,0,1,0,1,1,0,1,0,0,2,102,1,1,1,3,7,1,1,3
57,649500.0,0,1,0,0,1,0,1,0,0,0,0,0,2,105,1,1,1,7,7,1,1,3
58,630000.0,0,0,0,0,1,0,1,0,0,1,0,0,3,111,1,1,1,5,6,1,1,5
59,460000.0,0,0,0,0,0,0,0,1,0,0,0,0,2,70,1,1,1,4,5,1,1,3
60,560000.0,0,0,0,0,1,0,0,0,0,1,0,0,3,108,1,1,2,5,7,1,1,4
61,520000.0,0,0,0,0,0,0,0,1,0,0,0,0,1,80,1,1,1,1,2,1,1,3
62,345000.0,0,0,0,0,0,0,1,0,0,0,0,0,2,84,1,1,1,1,1,1,1,3
63,465000.0,0,0,0,0,1,0,1,0,0,0,0,0,1,70,1,1,1,3,7,1,1,2
64,525000.0,0,0,0,0,1,0,1,0,0,1,0,0,1,65,1,1,1,4,4,1,1,2
65,498000.0,0,0,0,0,1,0,1,0,0,0,0,0,3,61,1,1,1,3,8,1,1,4
66,290000.0,0,0,0,0,1,0,1,0,0,0,0,0,2,62,1,1,1,6,12,1,1,3
67,524000.0,0,0,0,0,1,0,1,0,0,0,0,1,1,60,1,1,1,17,17,1,2,2
68,980000.0,0,1,0,0,1,0,1,0,0,0,0,0,2,133,2,1,2,7,7,1,1,4
69,150000.0,0,0,0,0,1,0,1,0,1,0,0,1,2,33,1,1,1,8,12,1,1,1
70,570000.0,0,0,0,0,0,1,1,0,0,1,0,0,2,68,1,1,1,2,4,1,1,3
71,448000.0,0,0,0,0,1,1,1,0,1,0,0,0,2,64,1,1,1,6,7,1,1,3
72,210000.0,0,0,0,0,1,0,0,0,0,0,0,1,2,28,1,1,1,1,12,1,1,1
73,735000.0,0,0,0,0,1,0,1,0,0,1,0,0,2,90,1,1,1,2,6,1,1,3
74,1180000.0,0,0,0,0,1,0,1,0,0,1,0,0,3,144,1,1,1,2,6,1,1,6
75,735000.0,0,0,0,0,1,0,1,0,0,0,0,1,3,110,1,1,1,5,6,1,1,4
76,150000.0,0,0,0,0,1,0,1,0,0,0,0,0,1,52,1,1,1,2,5,1,1,2
77,196000.0,0,0,0,0,0,0,1,0,0,1,0,0,1,46,1,1,1,2,4,1,1,2
78,320000.0,0,0,0,0,1,0,1,0,0,0,0,1,1,49,1,1,1,4,12,1,1,2
79,442000.0,0,1,0,0,0,0,0,1,0,0,0,0,1,54,1,1,1,2,5,1,1,2
80,825000.0,0,1,0,0,0,0,0,0,0,0,0,0,4,108,2,1,1,1,5,1,1,5
81,525000.0,0,0,0,0,1,0,1,0,0,1,0,0,1,65,1,1,1,4,4,1,1,2
82,290000.0,0,0,0,0,1,0,1,0,0,0,0,0,2,62,1,1,1,6,10,1,1,3
83,524000.0,0,0,0,0,1,0,1,0,0,0,0,1,1,60,1,1,1,17,17,1,2,2
84,345000.0,0,0,0,0,0,0,1,0,0,0,0,0,2,84,1,1,1,1,1,1,1,3
85,980000.0,0,1,0,0,1,0,1,0,0,0,0,0,2,133,2,1,2,7,7,1,1,4
86,830000.0,0,0,0,0,1,0,1,0,0,1,0,0,4,129,1,1,1,1,6,1,1,5
87,570000.0,0,0,0,0,0,1,1,0,0,1,0,0,2,68,1,1,1,2,4,1,1,3
88,725000.0,0,0,0,0,0,0,0,0,0,1,0,0,3,104,2,1,1,2,5,1,1,4
89,510000.0,0,1,0,0,1,0,1,0,0,0,0,0,2,66,1,1,1,5,7,1,1,3
90,525000.0,0,0,0,0,0,0,1,0,1,0,0,1,3,395,1,1,1,1,1,1,1,4
91,2990000.0,0,0,0,0,0,0,0,0,0,0,1,0,19,725,1,1,1,1,1,1,1,20
92,1750000.0,0,0,0,0,0,0,0,0,0,0,1,0,6,480,1,1,1,1,2,1,1,7
