,sl_prix,sl_style,sl_localisation,sl_cuisine,sl_exposition,sl_vue,sl_ascenseur,sl_neuf,sl_cave,sl_annee,sl_balcon,sl_parquet,sl_gardien,sl_nb_chambre,sl_taille,sl_salle_d_eau,sl_salle_de_bain,sl_toilette,sl_etage,sl_hauteur,sl_parking,sl_terrasse,sl_nb_piece
219,355000.0,0,0,0,0,0,0,1,1,1,0,1,1,1,20,1,1,1,5,6,1,1,1
220,208000.0,0,0,0,0,0,0,0,0,0,0,1,0,2,16,1,1,1,4,6,1,1,1
221,315000.0,0,0,0,0,0,1,0,0,0,0,0,1,2,24,1,1,1,4,6,1,1,1
222,2600000.0,0,0,1,0,0,1,0,0,1,0,0,1,3,200,1,1,3,3,6,1,1,6
223,585000.0,0,0,1,0,0,1,1,1,1,0,1,0,1,46,1,1,1,3,6,1,1,2
224,441000.0,0,0,0,0,0,1,0,1,0,1,1,0,1,59,1,1,1,4,4,1,1,2
225,749500.0,0,0,0,0,0,1,0,1,0,0,0,1,2,80,1,1,1,3,7,1,1,4
226,849000.0,0,0,0,0,0,1,0,1,0,0,0,0,2,75,1,1,1,3,7,1,1,3
227,380000.0,0,0,0,0,0,0,0,0,1,0,1,0,1,27,1,1,1,2,4,1,1,1
228,649000.0,0,0,0,0,0,1,0,1,0,0,1,0,1,70,1,1,1,1,9,1,1,2
229,4900000.0,0,0,0,0,0,0,0,0,0,1,0,0,7,349,1,1,1,5,8,1,1,8
230,618000.0,0,0,0,0,0,1,1,0,0,0,1,1,1,40,1,1,1,7,8,1,1,2
231,804000.0,0,0,0,0,0,1,0,0,0,0,1,1,2,65,1,1,1,1,8,1,1,4
232,441000.0,0,0,0,0,0,1,0,1,0,1,1,0,1,59,1,1,1,4,4,1,1,2
233,898000.0,0,0,1,0,0,1,0,1,0,1,0,1,2,66,1,1,1,7,7,1,1,3
234,749500.0,0,0,0,0,0,1,0,1,0,0,0,1,2,80,1,1,1,4,7,1,1,4
235,424000.0,0,0,0,0,0,0,0,0,0,0,0,1,3,31,1,1,1,2,9,1,1,1
236,2045000.0,0,0,0,0,0,0,0,0,0,0,1,0,4,166,1,2,2,1,6,1,1,5
237,1751000.0,0,0,0,0,0,1,1,1,0,0,1,1,2,82,1,1,2,1,6,2,1,3
238,849000.0,0,0,0,0,0,1,0,1,0,0,0,0,2,75,1,1,1,3,7,1,1,3
239,615000.0,0,0,0,0,0,1,0,0,0,0,0,1,1,50,1,1,1,1,6,1,1,2
240,950000.0,0,0,0,0,0,1,0,1,0,0,0,1,1,60,1,1,1,4,11,1,1,3
241,997000.0,0,0,0,0,0,0,0,1,1,0,0,0,3,110,1,1,2,4,6,1,1,4
242,485000.0,0,0,0,0,0,0,0,1,1,0,0,1,1,40,1,1,1,2,4,1,1,2
243,1435000.0,0,0,0,0,0,1,0,0,0,1,1,0,2,84,1,1,1,8,8,1,1,4
244,441000.0,0,0,0,0,0,0,0,0,0,0,0,0,2,39,1,1,1,5,5,1,1,1
245,1540000.0,0,0,0,0,0,1,0,1,0,0,1,0,3,110,1,1,1,3,5,1,1,4
246,210000.0,0,0,0,0,0,0,0,0,0,0,0,1,3,15,1,1,2,7,5,1,1,1
247,3710000.0,0,0,0,0,0,1,0,1,0,0,0,1,3,252,1,1,4,1,6,1,1,6
